,"Session PRODUCTS
27 posters
","12 April 2021                                                                                                          Data products, information and knowledge



",,
,EasyChair No,Authors,Title,Presenter
4,8,"Antonio Novellino, Marco Alba, Patrick Gorringe and Luca Bonofiglio",EMODnet Physics from data to use cases,Antonio Novellino
4,11,Sara Almeida and Paulo Nunes,Declassification of naval data: the steps!,Sara Almeida
4,15,"Gennadii Donchyts, Giorgio Santinelli, Arjen Luijendijk, Antonio Moreno-Rodenas and Martin Verlaan",Automated extraction and fusion of the intertidal and subtidal bathymetry from the Landsat and Sentinel satellite data,Gennadii Donchyts
4,23,"Rachel Killick, Nick Rayner and Chris Atkinson",Marine Databases produced by the UK Met Office,Rachel Killick
4,25,"David Currie, Liz Clarke, Edvin Fuglebakk, Kirsten Birch Håkansson, Henrik Kjems-Nielsen and Nuno Prista",Increasing quality in ICES commercial fisheries data using the Regional Database and Estimation System,David Currie
4,30,"Joana Ribeiro, Carlos Pinto, Mehdi Abbasi and Neil Holdsworth",Development of the ICES Continuous Underwater Noise reporting format and database,Joana Ribeiro
4,33,"Andrew Matthews, Elizabeth Bradshaw and Kathleen Gordon",Using citizen science to rescue tide gauge data,Andrew Matthews
4,37,"Maria Eugenia Molina Jack, Marina Lipizer, Giordano Giorgi, Stefanos Papazisimou, Boris Petelin, Luka Žilić, Ivan Vučić, Christina Zeri, Ana Castelli, Rigers Bakiu and Mateja Poje",HarmoNIA project: Searching for data and tools to support pollution assessment and response,Maria Eugenia Molina Jack
4,39,Yuriy Ilyin,Data time-series formation and studies of long-term trends for marine water quality indicators in the coastal zone regions of the north-western Black Sea,Yuriy Ilyin
4,43,"Adrian Bumann, Robin Teigland, Jannes Germishuys, Benedikt Ziegler, Martin Mattson, Eddie Olsson, Robert Rylander, Yixin Zhang and Torsten Linders",The Killer Shrimp Invasion Challenge on Kaggle:  An online competition tackling the spread of invasive marine species through machine learning,Adrian Bumann
4,55,Cem Serimozu,Analysis of in-situ temperature and salinity data in the Levantine Sea,Cem Serimozu
4,73,"Vasilis Gerovasileiou, Stamatina Nikolopoulou, Dimitra Mavraki, Christos Arvanitidis, Leen Vandepitte, Gizem Poffyn, Joana Beja, Ruben Perez Perez, Laura Boicenco, Marina Lipizer and Menashè Eliezer",Mobilizing historical marine data within EMODnet Biology,Vasilis Gerovasileiou
4,74,"Roberto Sorgente, Mario Allegra, Marco Arrigo, Andrea Cucco, Antonia Di Maio, Manuel Gentile, Dario La Guardia, Gennaro Oliva, Federica Pessini, Angelo Perilli, Giovanni Quattrocchi, Alessandro Signa and Alberto Ribotti",A supporting marine information system for marine oil spill emergencies in the Italian seas,Roberto Sorgente
4,80,"Christine Coatanoan, Simona Simoncelli, Volodymyr Myroshnychenko, Örjan Bäck, Helge Sagen, Serge Scory, Reiner Schlitzer, Michèle Fichaut and Dick Schaap",SeaDataCloud quality control of data collections,Christine Coatanoan
4,81,"Mirinae Kim, Taeyoon Song and Minyoung Kim",Development and Application of Teaching Materials for Ocean using JOISS,Mirinae Kim
